INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,OCCUR_YEAR
150544024,02/20/2016,20:31:00,MANHATTAN,33,0,MULTI DWELL - APT BUILD,false,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1001602,246487,40.84321623700004,-73.93728755699995,POINT (-73.93728755699995 40.84321623700004),2016
33617461,08/07/2007,4:06:00,BROOKLYN,73,0,,false,UNKNOWN,M,UNKNOWN,18-24,M,BLACK,1009142,187708,40.681865079000026,-73.91025402099996,POINT (-73.91025402099996 40.681865079000026),2007
28609131,04/22/2007,4:45:00,MANHATTAN,25,0,,false,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1000555,230994,40.800694331000045,-73.94110928599997,POINT (-73.94110928599997 40.800694331000045),2007
71531608,03/01/2010,2:33:00,BROOKLYN,77,0,,false,UNKNOWN,M,BLACK,18-24,M,BLACK,1003944,185759,40.67652860700008,-73.92900095399995,POINT (-73.92900095399995 40.67652860700008),2010
94036725,12/14/2013,22:36:00,BROOKLYN,73,0,,false,18-24,M,BLACK,<18,M,BLACK,1009014,179123,40.658301540000025,-73.91074705799997,POINT (-73.91074705799997 40.658301540000025),2013
35803777,11/18/2007,1:00:00,BROOKLYN,75,0,BAR/NIGHT CLUB,true,18-24,M,BLACK,18-24,M,BLACK,1017119,183909,40.67141166300007,-73.88151172399995,POINT (-73.88151172399995 40.67141166300007),2007
74768858,09/24/2010,19:47:00,BRONX,47,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,<18,M,BLACK HISPANIC,1028017,262766,40.88780567700008,-73.84171183999997,POINT (-73.84171183999997 40.88780567700008),2010
141298011,03/06/2015,12:45:00,QUEENS,100,0,MULTI DWELL - PUBLIC HOUS,true,18-24,M,BLACK,18-24,M,BLACK,1039880,155193,40.59247875500005,-73.79969734699995,POINT (-73.79969734699995 40.59247875500005),2015
59660231,03/16/2009,23:55:00,QUEENS,113,0,,false,UNKNOWN,U,UNKNOWN,18-24,F,BLACK,1053542,189909,40.68767008900005,-73.75014899399997,POINT (-73.75014899399997 40.68767008900005),2009
78989592,05/27/2011,22:30:00,BRONX,43,0,,false,18-24,M,WHITE HISPANIC,<18,M,BLACK HISPANIC,1019071,240911,40.82786013700007,-73.87417980899994,POINT (-73.87417980899994 40.82786013700007),2011
49993795,08/11/2008,13:31:00,QUEENS,113,0,BEAUTY/NAIL SALON,false,18-24,M,BLACK,25-44,M,BLACK,1041947,187128,40.680120078000066,-73.79198177599994,POINT (-73.79198177599994 40.680120078000066),2008
10187497,01/19/2006,20:23:00,MANHATTAN,32,0,NONE,false,25-44,M,BLACK,<18,M,BLACK,1001065,234582,40.81054144700005,-73.93925822599994,POINT (-73.93925822599994 40.81054144700005),2006
71863154,03/22/2010,11:12:00,MANHATTAN,23,0,,false,18-24,M,BLACK,<18,M,BLACK,999562,229195,40.795758343000045,-73.94470001099995,POINT (-73.94470001099995 40.795758343000045),2010
86046520,08/02/2012,1:15:00,BRONX,40,0,,false,25-44,M,BLACK,25-44,M,BLACK,1009842,237752,40.81922114300004,-73.90753974799998,POINT (-73.90753974799998 40.81922114300004),2012
79008483,05/29/2011,21:19:00,BRONX,41,0,,false,25-44,M,BLACK,18-24,M,BLACK,1015248,235512,40.81305566000003,-73.88801869799995,POINT (-73.88801869799995 40.81305566000003),2011
26901375,02/16/2007,4:30:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,18-24,F,BLACK,999816,176837,40.65204791600007,-73.94390374499993,POINT (-73.94390374499993 40.65204791600007),2007
83997005,04/01/2012,23:05:00,BRONX,47,0,,false,18-24,M,BLACK,25-44,M,BLACK,1026022,268670,40.904019924000075,-73.84889019499997,POINT (-73.84889019499997 40.904019924000075),2012
139241969,10/18/2014,2:00:00,BRONX,46,0,,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1008224,250621,40.85454734900002,-73.91333944399997,POINT (-73.91333944399999 40.85454734900003),2014
38474841,01/27/2008,4:49:00,QUEENS,108,0,BAR/NIGHT CLUB,true,18-24,M,BLACK,25-44,M,BLACK,999155,211756,40.74789353800003,-73.94620862299998,POINT (-73.94620862299998 40.74789353800003),2008
149455199,01/17/2016,0:08:00,BROOKLYN,72,0,,false,18-24,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,982276,175428,40.64819397400004,-74.00711505299995,POINT (-74.00711505299995 40.64819397400004),2016
52050047,10/09/2008,4:31:00,MANHATTAN,32,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,BLACK,1002118,242744,40.83294176100002,-73.93543259299997,POINT (-73.93543259299997 40.83294176100002),2008
184058457,06/17/2018,3:41:00,QUEENS,114,2,,false,25-44,M,BLACK,25-44,M,BLACK,"1,001,899","221,194",40.77379337,-73.93628063,POINT (-73.93628063 40.77379337),2018
